normdF = 119.589794805147079  normdF_normal = 119.568438906112149  err = 0.020916700064161
normdF = 324.314667552874596  normdF_normal = 324.269664822803975  err = 0.016867431188697
normdF = 206.336806297391433  normdF_normal = 206.314026830167364  err = 0.027222457921493
normdF = 277.136721370946645  normdF_normal = 277.098123152404128  err = 0.011549986905721
normdF = 179.106977216116064  normdF_normal = 179.077225327323589  err = 0.029093599472410
normdF = 391.826782626547981  normdF_normal = 391.802844319221890  err = 0.018570544349154
normdF = 296.245997291345304  normdF_normal = 296.224908306494626  err = 0.047282411395760
normdF = 185.329368214010742  normdF_normal = 185.299842544298514  err = 0.021576579923477
normdF = 180.152514290421834  normdF_normal = 180.122371295542081  err = 0.042683532453468
normdF = 230.536806220063511  normdF_normal = 230.521076206758295  err = 0.043896963955676
normdF = 149.502876331335358  normdF_normal = 149.472759221841812  err = 0.046303298189549
normdF = 154.680503611924621  normdF_normal = 154.660602825830892  err = 0.014535225708697
normdF = 159.101320917213570  normdF_normal = 159.066490149733170  err = 0.019143922410839
normdF = 167.117257028689750  normdF_normal = 167.096263838622150  err = 0.011819681945469
normdF = 92.772173894898813  normdF_normal = 92.730844257996779  err = 0.035969929541550
normdF = 261.245547313639975  normdF_normal = 261.225484980154249  err = 0.046870653783268
normdF = 323.493846775294685  normdF_normal = 323.462483760006535  err = 0.146896298415861
normdF = 830.094820193735359  normdF_normal = 830.081167165296165  err = 0.046037702534056
normdF = 107.866757584726514  normdF_normal = 107.822064261710878  err = 0.021220066436361
normdF = 304.526847719678528  normdF_normal = 304.507680633364316  err = 0.059790647179291
normdF = 213.228814725232809  normdF_normal = 213.194184345385764  err = 0.022876140393614
normdF = 158.507463537635630  normdF_normal = 158.488833081748879  err = 0.024232502834383
normdF = 176.181636948332880  normdF_normal = 176.153328378581733  err = 0.019336954883389
normdF = 171.959602079697731  normdF_normal = 171.943336087180995  err = 0.018636998960447
normdF = 194.686358622383096  normdF_normal = 194.660186947546890  err = 0.010939042572516
normdF = 116.961600273363658  normdF_normal = 116.931015125709706  err = 0.070041271021583
normdF = 221.389597777755625  normdF_normal = 221.363096189864933  err = 0.023313085570322
normdF = 242.517393949951298  normdF_normal = 242.500832066928353  err = 0.118785429926880
normdF = 443.948002614613358  normdF_normal = 443.931276796823738  err = 0.021635667935906
normdF = 163.907366106027013  normdF_normal = 163.879437677904548  err = 0.029184196620750
normdF = 127.217276238604157  normdF_normal = 127.171117262950901  err = 0.024613573386579
normdF = 214.876959711120463  normdF_normal = 214.858562172183184  err = 0.015820483690622
normdF = 125.270983148802756  normdF_normal = 125.228197980561546  err = 0.044547247852270
normdF = 221.986976700295429  normdF_normal = 221.966043008041567  err = 0.023035546740564
normdF = 250.975907530266596  normdF_normal = 250.948312754432237  err = 0.009172810615793
normdF = 122.032731578074987  normdF_normal = 122.008037767742422  err = 0.009644558635435
normdF = 108.218060071574584  normdF_normal = 108.174399489433085  err = 0.021280862598419
normdF = 195.674096272979085  normdF_normal = 195.651356239706701  err = 0.030670653737142
normdF = 93.023158315544364  normdF_normal = 92.969206640679502  err = 0.060684979921253
normdF = 183.589032967055431  normdF_normal = 183.561633445587773  err = 0.009329573491197
normdF = 223.126535009310970  normdF_normal = 223.094414688006623  err = 0.032848022959554
normdF = 204.487934720590175  normdF_normal = 204.463506673980703  err = 0.007532172338437
normdF = 131.745983708593002  normdF_normal = 131.710521431492964  err = 0.081673001355316
normdF = 264.731065988578905  normdF_normal = 264.708804151597235  err = 0.054102802249718
normdF = 204.644011315419846  normdF_normal = 204.615454721832151  err = 0.084268151044605
normdF = 224.191081027668929  normdF_normal = 224.171233946502952  err = 0.020453747213566
normdF = 149.111106199614483  normdF_normal = 149.078936804914463  err = 0.034906558219673
normdF = 152.301518100708876  normdF_normal = 152.281178358847853  err = 0.028299502291146
normdF = 283.303044044826663  normdF_normal = 283.272738069412867  err = 0.093191635606636
normdF = 186.752218730179436  normdF_normal = 186.743214511131839  err = 0.077563172814932
normdF = 171.376132839226102  normdF_normal = 171.341255889837612  err = 0.035053468143107
normdF = 155.189080022967175  normdF_normal = 155.170578503187130  err = 0.052711248558905
normdF = 198.634970193263769  normdF_normal = 198.605492134486070  err = 0.108172246040324
normdF = 275.192763807332710  normdF_normal = 275.179977257455050  err = 0.018777997275661
normdF = 78.765840284249705  normdF_normal = 78.742801753079178  err = 0.026249887416563
normdF = 249.038932120076453  normdF_normal = 249.021195842683738  err = 0.013960444617010
normdF = 142.141820347036116  normdF_normal = 142.109772711010493  err = 0.020636834116278
normdF = 161.129200090216898  normdF_normal = 161.109297797922238  err = 0.010757557921609
normdF = 136.984047660659712  normdF_normal = 136.964240287890902  err = 0.073947108257697
normdF = 153.690822877050266  normdF_normal = 153.667894067267071  err = 0.026013675472274
normdF = 246.230309003032573  normdF_normal = 246.202181629154865  err = 0.010319564097543
normdF = 103.682902472828857  normdF_normal = 103.644285298290740  err = 0.030124189585209
normdF = 247.266083909088991  normdF_normal = 247.248227248725669  err = 0.009921096609944
normdF = 150.857994834584474  normdF_normal = 150.828967137483374  err = 0.034041330152357
normdF = 130.944326449214770  normdF_normal = 130.929102046669982  err = 0.018412642031756
normdF = 160.007246330133171  normdF_normal = 159.994524742318816  err = 0.074849344876354
normdF = 328.541805888116642  normdF_normal = 328.525375221703428  err = 0.019232383685006
normdF = 171.138380964225206  normdF_normal = 171.120423113933043  err = 0.079291257644713
normdF = 194.397319687325336  normdF_normal = 194.375873484483350  err = 0.017673802686474
normdF = 269.667984746032971  normdF_normal = 269.646835259341628  err = 0.012009955112267
normdF = 107.275835190286031  normdF_normal = 107.243743119993951  err = 0.033320774707642
normdF = 106.814374590862869  normdF_normal = 106.790946336466277  err = 0.041944322466138
normdF = 183.754123910831453  normdF_normal = 183.736714916280704  err = 0.019165743054292
normdF = 159.275916786335358  normdF_normal = 159.259219620450921  err = 0.021940730615561
normdF = 161.080011082068353  normdF_normal = 161.059762392854225  err = 0.032723320892725
normdF = 212.578800935168402  normdF_normal = 212.561854765775195  err = 0.020993874621765
normdF = 152.502827593713278  normdF_normal = 152.484806495816400  err = 0.046318144908407
normdF = 106.683282774290078  normdF_normal = 106.661317944369870  err = 0.093724541997784
normdF = 381.230046345826111  normdF_normal = 381.209586633221420  err = 0.025012775141945
normdF = 166.658757941139186  normdF_normal = 166.634751692612411  err = 0.130859130258541
normdF = 177.588587859526854  normdF_normal = 177.570521256684941  err = 0.033400602312607
normdF = 134.567311045748681  normdF_normal = 134.549649324697640  err = 0.025967685544119
