normdF = 3836.911147460759821  normdF_normal = 3836.144413789184455  err = 0.077639989924265
normdF = 3018.967283784416850  normdF_normal = 3018.125757188414809  err = 0.160312713412224
normdF = 3809.138772253604657  normdF_normal = 3808.247551027101963  err = 0.110678719650006
normdF = 2578.495341336093134  normdF_normal = 2577.381272225070916  err = 0.310966020724346
normdF = 3442.142090453970468  normdF_normal = 3441.302312596771571  err = 0.104369785274227
normdF = 2793.177463321805135  normdF_normal = 2792.052337676635489  err = 0.156384470760840
normdF = 4363.387678705656981  normdF_normal = 4362.379495250931541  err = 0.106293129864122
normdF = 2481.768571172040083  normdF_normal = 2480.669468580596458  err = 0.126047301553412
normdF = 3285.043349798824238  normdF_normal = 3284.339216988798398  err = 0.071020818129087
normdF = 1682.524049567994098  normdF_normal = 1681.030352298343814  err = 0.317021441632624
normdF = 3644.671182927611881  normdF_normal = 3643.930738010884397  err = 0.106242271065791
normdF = 2404.151522572588874  normdF_normal = 2403.087628991510883  err = 0.116441784115470
normdF = 3187.784338935006417  normdF_normal = 3186.765580052507175  err = 0.877213867922807
normdF = 3685.339721083074437  normdF_normal = 3684.777124739995998  err = 0.199804606026004
normdF = 1544.771652242327718  normdF_normal = 1543.511866466886204  err = 0.069399623940132
normdF = 2053.651810710673999  normdF_normal = 2052.390118302243991  err = 0.050148793513290
normdF = 1168.345961819903096  normdF_normal = 1166.883399633745512  err = 0.151250255539139
normdF = 5057.411557599254593  normdF_normal = 5056.740039546648404  err = 0.066595981247097
normdF = 1692.646150239317421  normdF_normal = 1691.352790399689411  err = 0.193414757916849
normdF = 3536.096440622553018  normdF_normal = 3535.387017101432775  err = 0.129777202153556
normdF = 3398.612010806302806  normdF_normal = 3397.809920589106696  err = 0.089534879273948
normdF = 3755.724027207485960  normdF_normal = 3754.795019091220183  err = 0.068558976819037
normdF = 3074.883000242703929  normdF_normal = 3073.941362952689360  err = 0.049838797085739
normdF = 1656.281016740696487  normdF_normal = 1654.964730006031914  err = 0.124993283757039
normdF = 3946.126184864790957  normdF_normal = 3945.192903137216945  err = 0.056891201346586
normdF = 2155.974378893501125  normdF_normal = 2154.982414077061549  err = 0.104389483230985
normdF = 3170.861668576248576  normdF_normal = 3169.896924799345015  err = 0.166086947366048
normdF = 2289.962828327029911  normdF_normal = 2288.881760035458228  err = 0.066578391995852
normdF = 2253.385102862164331  normdF_normal = 2252.501965678422494  err = 0.177803563495221
normdF = 2113.508796786468338  normdF_normal = 2112.702381803752814  err = 0.079722220892010
normdF = 2203.325721949462149  normdF_normal = 2202.329093565072526  err = 0.093948492712905
normdF = 2140.412860147408992  normdF_normal = 2139.430087123834710  err = 0.182027876413437
normdF = 2775.801333852893549  normdF_normal = 2774.851769346456422  err = 0.063118413473365
normdF = 1581.249664360069346  normdF_normal = 1579.956554918770053  err = 0.098572934232684
normdF = 2439.785112899411160  normdF_normal = 2438.739250450593318  err = 0.150103479801996
normdF = 1384.452299047734869  normdF_normal = 1383.494359532216322  err = 0.067560303697661
normdF = 1832.436925941885193  normdF_normal = 1831.375093305298606  err = 0.091806106115238
normdF = 3598.701553285371119  normdF_normal = 3597.675865335840172  err = 0.075855957575762
normdF = 2564.612554994916536  normdF_normal = 2563.780014361764643  err = 0.044024476368702
normdF = 2139.737349522353725  normdF_normal = 2138.609324775396999  err = 0.111493540783045
normdF = 2618.782480134359048  normdF_normal = 2618.006988033954258  err = 0.169171883899424
normdF = 1537.690160585225613  normdF_normal = 1536.572405108392331  err = 0.034325921798952
normdF = 1317.442806436723913  normdF_normal = 1316.407384796599899  err = 0.342782751342236
normdF = 2357.473056711117806  normdF_normal = 2356.875511395909598  err = 0.040312555383339
normdF = 1784.306611222240463  normdF_normal = 1783.242338499919697  err = 0.075805978484195
normdF = 2196.720785352149505  normdF_normal = 2195.847820659056197  err = 0.081031434368286
normdF = 2604.394799877658897  normdF_normal = 2603.465625168038514  err = 0.047998305397977
normdF = 1468.033105985453176  normdF_normal = 1466.907481439409821  err = 0.305404861109760
normdF = 2422.436301280601128  normdF_normal = 2421.697633668435174  err = 0.061766191997705
normdF = 1580.849087830699318  normdF_normal = 1579.732108047742486  err = 0.099001476744512
normdF = 2498.124619398415689  normdF_normal = 2497.351429013913730  err = 0.681011127201622
normdF = 2726.181217871235276  normdF_normal = 2725.230163621764859  err = 0.182327781711386
normdF = 2290.512271972880626  normdF_normal = 2289.706170500159260  err = 0.058393483965797
normdF = 1453.320867054244218  normdF_normal = 1452.125832899772604  err = 0.105956975093616
normdF = 1855.868617332055464  normdF_normal = 1854.820160512806069  err = 0.111312749829103
normdF = 1300.495104979700272  normdF_normal = 1299.448832769781347  err = 0.052839054973707
normdF = 2762.403650953859596  normdF_normal = 2761.509715278205476  err = 0.168169779980492
normdF = 2079.231560727801934  normdF_normal = 2078.354742984275617  err = 0.085930360565333
normdF = 2679.139757792839191  normdF_normal = 2678.171659968950280  err = 0.184392879726079
normdF = 2515.938961838900013  normdF_normal = 2514.666985505280991  err = 0.077867053963529
normdF = 2383.915489794303085  normdF_normal = 2383.022132196637813  err = 0.061087008109555
normdF = 1942.730762873189633  normdF_normal = 1941.818957478365064  err = 0.039243696777069
normdF = 1531.277214301381719  normdF_normal = 1530.382397931529113  err = 0.257455202763567
normdF = 2803.286596604165879  normdF_normal = 2802.585766774420335  err = 0.088538035599956
normdF = 2198.803444138921350  normdF_normal = 2197.974001730320197  err = 0.035781873698121
normdF = 1196.733709960014494  normdF_normal = 1195.757785018758341  err = 0.519539349987869
normdF = 2334.875155322601131  normdF_normal = 2334.230314578894195  err = 0.084802461293539
normdF = 1430.390552791536948  normdF_normal = 1429.001004656840223  err = 0.071757484208153
normdF = 2135.469451237930571  normdF_normal = 2134.696739035495284  err = 0.054497671966767
normdF = 1582.860612125370153  normdF_normal = 1581.938436713479177  err = 0.058232922755035
normdF = 2322.885663281641882  normdF_normal = 2321.817480803480976  err = 0.053622263949385
normdF = 1790.431291202950206  normdF_normal = 1789.358717746545835  err = 0.050435423251274
normdF = 1965.830071578580828  normdF_normal = 1964.927094841494409  err = 0.048410141889145
normdF = 1790.888037566118555  normdF_normal = 1789.756760603760313  err = 0.431283515832862
normdF = 2374.121572730449770  normdF_normal = 2373.546662719415963  err = 0.076393730449637
normdF = 1680.348593235270300  normdF_normal = 1679.653021172789749  err = 0.055875280896719
normdF = 1959.047630142230446  normdF_normal = 1958.149149398781674  err = 0.029908570303282
normdF = 2031.020563767108570  normdF_normal = 2030.236926623471163  err = 0.067760708694954
normdF = 1664.220922267835704  normdF_normal = 1663.257754861982676  err = 0.031735071990537
normdF = 1195.614050621185925  normdF_normal = 1194.515420191421072  err = 0.082256076954079
normdF = 1550.193903166537439  normdF_normal = 1549.402615203192454  err = 0.095502930037733
normdF = 2028.474670179784880  normdF_normal = 2027.499135556279953  err = 0.042100059586269
normdF = 2429.786306726691691  normdF_normal = 2428.985817543448320  err = 0.059455803207897
normdF = 1152.563993296787658  normdF_normal = 1151.426388141113648  err = 0.104604334012793
normdF = 1668.566062860779994  normdF_normal = 1667.695766194872249  err = 0.031461263032497
normdF = 1696.537211059596984  normdF_normal = 1695.546695582074790  err = 0.097786727715333
normdF = 1222.045822396140693  normdF_normal = 1221.224606750834255  err = 0.146015401195300
normdF = 1712.485594819745984  normdF_normal = 1711.762751777369203  err = 0.070999617185026
normdF = 1919.007209000632884  normdF_normal = 1917.781746576056321  err = 0.238575251217098
normdF = 1986.022605560324564  normdF_normal = 1985.395388958063222  err = 0.056592554795331
normdF = 1602.030816477961253  normdF_normal = 1600.957700868557595  err = 0.199557198537803
normdF = 1696.099173225182994  normdF_normal = 1695.257761493446196  err = 0.079042929639959
normdF = 1260.029350220802371  normdF_normal = 1258.717990292585228  err = 0.032231092534443
normdF = 1434.858439062191337  normdF_normal = 1434.213356798641826  err = 0.043706525476582
normdF = 1490.832203100106426  normdF_normal = 1489.854591358737025  err = 0.098443989139381
normdF = 1438.575342078687072  normdF_normal = 1437.631693563730778  err = 0.073231353541180
normdF = 1629.594824229019650  normdF_normal = 1628.518698440794878  err = 1.231190498059011
normdF = 2523.898295400932057  normdF_normal = 2523.470246856287758  err = 0.199451873549047
normdF = 1220.528620518006392  normdF_normal = 1219.252609193953504  err = 0.071475034943131
normdF = 1417.541292213823226  normdF_normal = 1416.923601058561871  err = 0.074262657002885
normdF = 1352.846853589687271  normdF_normal = 1351.595902182474902  err = 0.052020154535247
normdF = 1113.614808939271143  normdF_normal = 1112.457306809901638  err = 0.020538093712735
normdF = 906.014775604239844  normdF_normal = 904.734519451170286  err = 0.072580927066781
normdF = 2288.125909665360268  normdF_normal = 2287.261619964031979  err = 0.215627027519163
normdF = 3247.445277162753882  normdF_normal = 3246.723110685585198  err = 0.032896459454041
normdF = 925.816118882232217  normdF_normal = 924.823109956593157  err = 0.048829029683302
normdF = 2304.300571448515257  normdF_normal = 2303.406987844838568  err = 0.054619672121210
normdF = 1730.676969590588897  normdF_normal = 1729.939974023040349  err = 0.055626023028664
normdF = 1680.737361965746913  normdF_normal = 1680.089353643006461  err = 0.037817404327808
normdF = 1362.366480711138593  normdF_normal = 1361.094839412478677  err = 0.133581037006572
normdF = 1477.017440974402234  normdF_normal = 1476.334650364604613  err = 0.079519138868554
normdF = 2283.367439306864071  normdF_normal = 2282.519146679271216  err = 0.134705312746799
normdF = 2401.009215264850809  normdF_normal = 2400.154008874408191  err = 0.116484775627311
normdF = 1258.069746549811953  normdF_normal = 1257.275914980776179  err = 0.043266859652661
normdF = 1323.354497521818757  normdF_normal = 1322.144092621387927  err = 0.105905758634382
normdF = 2324.876339103477221  normdF_normal = 2323.915978128038205  err = 0.039911738118677
normdF = 1141.689984593584768  normdF_normal = 1140.755838875765903  err = 0.045910912329386
normdF = 1093.264881906080291  normdF_normal = 1092.150829703888803  err = 0.056624365962365
normdF = 1326.259286601099348  normdF_normal = 1325.486942814607346  err = 0.039221342910209
normdF = 1168.334321816255169  normdF_normal = 1167.549898413366918  err = 0.058884723212414
normdF = 1173.052504415084741  normdF_normal = 1172.135277531251404  err = 0.046171764985744
normdF = 1626.145973616906076  normdF_normal = 1625.198338409602002  err = 0.473842057785862
normdF = 1550.824416014732151  normdF_normal = 1549.945237220664467  err = 0.075698434121381
normdF = 1919.257626174242205  normdF_normal = 1918.334384669982228  err = 0.297230935516254
normdF = 2255.824677356706161  normdF_normal = 2255.173289921185187  err = 0.030973788545995
normdF = 961.099945695737802  normdF_normal = 960.205933857912328  err = 0.042043175280047
normdF = 1515.640614661322616  normdF_normal = 1514.605912618141019  err = 0.091802165623333
normdF = 2082.740795973906643  normdF_normal = 2081.774744473898863  err = 0.040752454354221
normdF = 899.464687494401687  normdF_normal = 898.550629288276923  err = 0.039893685832173
normdF = 1248.183195815352292  normdF_normal = 1247.325919961204818  err = 0.150806708661594
normdF = 895.530769197033806  normdF_normal = 894.356422211312974  err = 0.056018375964658
normdF = 1764.100766837864057  normdF_normal = 1763.479253334039413  err = 0.033408299836057
normdF = 912.583887414353512  normdF_normal = 911.498235202848150  err = 0.310384377881147
normdF = 2074.621091038555733  normdF_normal = 2073.999384340221695  err = 0.063526624584258
normdF = 1254.196309314653718  normdF_normal = 1253.392887424500941  err = 0.169341388469953
normdF = 1461.026955670171446  normdF_normal = 1460.299303529773852  err = 0.039470804913854
normdF = 932.693680005988085  normdF_normal = 931.736329931060254  err = 0.095619459628843
normdF = 2206.527977801159977  normdF_normal = 2205.773987096290057  err = 0.051143830878561
normdF = 1312.374557370555522  normdF_normal = 1311.482502440294411  err = 0.086282404830293
normdF = 4247.765611651601830  normdF_normal = 4246.660767210770246  err = 0.112870036932815
normdF = 2047.258101827031851  normdF_normal = 2046.427506567442833  err = 0.038985555439601
normdF = 1468.920844136821188  normdF_normal = 1468.019717383478792  err = 0.041587496669828
normdF = 1483.505937010180332  normdF_normal = 1482.739282680650149  err = 0.149448370186104
normdF = 2141.180001102013193  normdF_normal = 2140.327861456763003  err = 0.152884496393707
normdF = 1372.145565665880440  normdF_normal = 1371.242996727493619  err = 0.034178981080172
normdF = 1848.714799485340563  normdF_normal = 1847.959954834357404  err = 0.057433786806930
normdF = 1762.712626789542583  normdF_normal = 1761.869444251706909  err = 0.472437035078614
normdF = 1890.274290767757066  normdF_normal = 1889.513419990596503  err = 0.082918278689624
normdF = 830.907395697646166  normdF_normal = 829.835768326161201  err = 0.061150866189548
normdF = 1204.326543005038275  normdF_normal = 1203.602808728785703  err = 0.064734659768793
normdF = 1267.525646625182844  normdF_normal = 1266.232862568719383  err = 0.065823968267350
normdF = 1511.889316346803298  normdF_normal = 1510.986699727190853  err = 0.047336180401261
normdF = 1051.845056072554826  normdF_normal = 1050.763166183952080  err = 0.033327166280698
normdF = 889.709380112249391  normdF_normal = 888.419487700506920  err = 0.111343639895520
normdF = 1472.526523772888140  normdF_normal = 1471.725298819862473  err = 0.038206889903824
normdF = 1495.830236150250812  normdF_normal = 1495.101402260716441  err = 0.045801901777077
