normdF = 138.152430121175740  normdF_normal = 138.117324506634930  err = 0.008818908697786
normdF = 211.276657716899024  normdF_normal = 211.245218007604421  err = 0.026508595625826
normdF = 170.724525122089176  normdF_normal = 170.697310016640643  err = 0.027057050522384
normdF = 243.570514919390575  normdF_normal = 243.538690359008058  err = 0.012784717754914
normdF = 138.505361260834349  normdF_normal = 138.483936907944354  err = 0.025811145695844
normdF = 139.042397950349510  normdF_normal = 138.998670835519874  err = 0.034720910880852
normdF = 153.221236540112187  normdF_normal = 153.198889728853231  err = 0.009778306451546
normdF = 96.916917731265684  normdF_normal = 96.885425298232008  err = 0.015306125012963
normdF = 152.614183305456180  normdF_normal = 152.590749646099908  err = 0.013610030823663
normdF = 170.504659156893723  normdF_normal = 170.482529553185827  err = 0.006438426403655
normdF = 114.375200961206957  normdF_normal = 114.356519819387813  err = 0.008036072304755
normdF = 112.388658877363639  normdF_normal = 112.355277605588043  err = 0.010315407015218
normdF = 123.769677804214794  normdF_normal = 123.737097763494319  err = 0.130750900708160
normdF = 117.684286240189749  normdF_normal = 117.650311589486350  err = 0.027362336577022
normdF = 125.744388086609248  normdF_normal = 125.715311261261917  err = 0.018555425301756
normdF = 108.251842650064361  normdF_normal = 108.217608435272567  err = 0.191337664970296
normdF = 184.273164313814306  normdF_normal = 184.251344972289843  err = 0.051297115957516
normdF = 93.653807311902568  normdF_normal = 93.622936297373244  err = 0.015747803164581
normdF = 136.521791482670295  normdF_normal = 136.482144439172913  err = 0.018666534719975
normdF = 128.890737379587790  normdF_normal = 128.861200188074207  err = 0.012774036986600
normdF = 122.545140391618176  normdF_normal = 122.513331318524379  err = 0.007892536913427
normdF = 98.096062104740284  normdF_normal = 98.067003814370679  err = 0.010248731414088
normdF = 58.643917050755668  normdF_normal = 58.594169759617351  err = 0.023566037781663
normdF = 112.219858523412114  normdF_normal = 112.191129679803396  err = 0.006597885978937
normdF = 86.297285891605284  normdF_normal = 86.263505764978618  err = 0.059987096599098
normdF = 307.169560996519749  normdF_normal = 307.134156539411663  err = 0.013436660102738
normdF = 73.951065086783430  normdF_normal = 73.910809336830837  err = 0.021163326718247
normdF = 116.423235316921392  normdF_normal = 116.400616060060315  err = 0.022416706649761
normdF = 146.714651256318234  normdF_normal = 146.687912585598212  err = 0.022891619791573
normdF = 125.536922407991199  normdF_normal = 125.514052947246711  err = 0.038675793504738
normdF = 129.494406295956736  normdF_normal = 129.457311512274913  err = 0.010784401783576
normdF = 72.683461101257691  normdF_normal = 72.644140266488122  err = 0.190235902184823
normdF = 220.462532965488521  normdF_normal = 220.438179788909281  err = 0.038916551176660
normdF = 159.900936220154136  normdF_normal = 159.866379676276722  err = 0.017466136025392
normdF = 112.922862945818594  normdF_normal = 112.877977880317914  err = 0.008939749989967
normdF = 127.071356789431562  normdF_normal = 127.036226434791800  err = 0.015965872646881
normdF = 125.669861775883120  normdF_normal = 125.635005254249350  err = 0.011451012115711
normdF = 97.614429149272951  normdF_normal = 97.570719057516484  err = 0.134622465773300
normdF = 90.100235951127146  normdF_normal = 90.080022198110953  err = 0.036733717969737
normdF = 94.219535987817324  normdF_normal = 94.170360102535128  err = 0.012315070761911
normdF = 95.843030336531911  normdF_normal = 95.810777676900528  err = 0.009668827384984
normdF = 82.151541530230716  normdF_normal = 82.103768690438983  err = 0.010268415548126
normdF = 117.840531104737011  normdF_normal = 117.806439853368133  err = 0.022368946457398
normdF = 133.772179295277454  normdF_normal = 133.742369694976304  err = 0.012313527317180
normdF = 130.749250049224827  normdF_normal = 130.718303441829363  err = 0.118594869094129
normdF = 228.891551713232815  normdF_normal = 228.872948847985896  err = 0.015845806258402
normdF = 71.430186184472163  normdF_normal = 71.393699312868122  err = 0.007525709562156
normdF = 99.301769217564726  normdF_normal = 99.264661075212217  err = 0.043563673827692
normdF = 130.662381754285235  normdF_normal = 130.626169855028451  err = 0.016876416559899
normdF = 186.531001152726986  normdF_normal = 186.512734807829048  err = 0.009787138653497
normdF = 73.905039033149208  normdF_normal = 73.858681301340468  err = 0.016282688656414
normdF = 111.590639733752923  normdF_normal = 111.561744674658698  err = 0.007221920117013
normdF = 121.214432373447494  normdF_normal = 121.192690416615946  err = 0.008628597803617
normdF = 86.954149549859920  normdF_normal = 86.912162877927486  err = 0.023542663985685
normdF = 159.636498700629460  normdF_normal = 159.612812637387265  err = 0.036804935870004
normdF = 84.935602616200200  normdF_normal = 84.886799831389766  err = 0.011669580717253
normdF = 85.585450836310599  normdF_normal = 85.544627195897505  err = 0.006015781799459
normdF = 96.949529960852900  normdF_normal = 96.905486808707252  err = 0.010182661687588
normdF = 162.426101564716220  normdF_normal = 162.391129865523311  err = 0.024321019938766
normdF = 104.233647193419429  normdF_normal = 104.212048573349406  err = 0.012570984896538
normdF = 144.107748173024248  normdF_normal = 144.089143288817240  err = 0.009712625158454
normdF = 124.894483664557526  normdF_normal = 124.865858086387959  err = 0.041179445812041
normdF = 117.018757813376212  normdF_normal = 116.990326316148256  err = 0.022616279430924
normdF = 104.609815105333823  normdF_normal = 104.578005253309044  err = 0.029257951979960
normdF = 175.470362078182347  normdF_normal = 175.443968893785893  err = 0.011654394730656
normdF = 87.698715993289127  normdF_normal = 87.659283939737946  err = 0.006021260855104
normdF = 78.577668619815412  normdF_normal = 78.553745692850597  err = 0.070593805027731
normdF = 236.679287871779309  normdF_normal = 236.654378411367531  err = 0.013637246842669
normdF = 199.381247326087845  normdF_normal = 199.351762198128569  err = 0.008264752956802
normdF = 68.995917309772167  normdF_normal = 68.966101330655661  err = 0.012261523897526
normdF = 70.742533987243718  normdF_normal = 70.709043732317795  err = 0.007001115591766
normdF = 59.441863741976761  normdF_normal = 59.405434204743521  err = 0.011774526679977
normdF = 149.865556962722735  normdF_normal = 149.840459637160819  err = 0.011030424273866
normdF = 168.303582572197598  normdF_normal = 168.268875138723843  err = 0.015808858533231
normdF = 86.150497493708755  normdF_normal = 86.113006852755490  err = 0.097152097811698
normdF = 178.873553935782098  normdF_normal = 178.852428099389215  err = 0.021222275055054
normdF = 79.036681356005118  normdF_normal = 79.010708225902889  err = 0.020199968252553
normdF = 188.659441879983120  normdF_normal = 188.632843257503566  err = 0.015310956202141
normdF = 69.625297205856413  normdF_normal = 69.589303322465668  err = 0.016071847067284
normdF = 144.669010139866685  normdF_normal = 144.643340835185512  err = 0.008960318642944
normdF = 102.345356982112079  normdF_normal = 102.311974464200404  err = 0.032607724291193
normdF = 69.073200682603328  normdF_normal = 69.034927153065837  err = 0.019679483534102
normdF = 76.898661579761139  normdF_normal = 76.876800356240835  err = 0.011485871188930
normdF = 68.307288900392152  normdF_normal = 68.275540833041916  err = 0.031389057631128
normdF = 138.138282316766634  normdF_normal = 138.111987086803765  err = 0.060318559504001
normdF = 101.554684740831277  normdF_normal = 101.536839846896356  err = 0.011084232114941
normdF = 116.060844140165500  normdF_normal = 116.033656798766842  err = 0.090215980971277
normdF = 125.162463214930511  normdF_normal = 125.144115247892714  err = 0.032490196157833
normdF = 86.059003838184978  normdF_normal = 86.033060641681445  err = 0.010296749514065
normdF = 119.784465273596609  normdF_normal = 119.765369661826256  err = 0.008075889617247
normdF = 75.124150953904731  normdF_normal = 75.100230450317966  err = 0.033344680752278
normdF = 124.210101274776378  normdF_normal = 124.184341717043054  err = 0.007725389074036
normdF = 66.833977220913411  normdF_normal = 66.806238857581874  err = 0.006013013351455
normdF = 95.672474270885971  normdF_normal = 95.646600885665691  err = 0.019651323691555
normdF = 218.375737555345125  normdF_normal = 218.360636420068175  err = 0.011149857937520
normdF = 79.420307940573835  normdF_normal = 79.390666637838407  err = 0.008831313257905
normdF = 74.701364255295985  normdF_normal = 74.669716015999910  err = 1.311465468312246
normdF = 207.104069418478531  normdF_normal = 207.086988346108512  err = 0.132302648174785
normdF = 231.753679738186690  normdF_normal = 231.726955307589378  err = 0.108526740305910
normdF = 103.939482613745625  normdF_normal = 103.912088733937281  err = 0.101551539498814
normdF = 121.514612913129753  normdF_normal = 121.489521739922509  err = 0.105319135609142
normdF = 84.454569951908482  normdF_normal = 84.427988496015260  err = 0.071966830273892
normdF = 105.412117081950782  normdF_normal = 105.384592942607313  err = 0.033525479618023
normdF = 77.656495325577566  normdF_normal = 77.625793100240500  err = 0.015632035862698
normdF = 63.270692992580152  normdF_normal = 63.248917401788013  err = 0.018323978262008
normdF = 235.951910441165069  normdF_normal = 235.933117826066791  err = 0.015290877425707
normdF = 139.773159751996360  normdF_normal = 139.740292546664534  err = 0.013811123248657
normdF = 59.452892158568211  normdF_normal = 59.418230998759796  err = 0.006227196900196
normdF = 123.173774024448463  normdF_normal = 123.146866383209698  err = 0.016287765492157
normdF = 134.789196993099665  normdF_normal = 134.756791570896524  err = 0.007251180000536
normdF = 82.512750037312188  normdF_normal = 82.488429681504144  err = 0.019058842811673
normdF = 99.425513722751290  normdF_normal = 99.398919748950604  err = 0.105400506523284
normdF = 176.620665404089834  normdF_normal = 176.594406352560497  err = 0.031329892065461
normdF = 75.904345872606285  normdF_normal = 75.874766628709438  err = 0.017643799455076
normdF = 184.423051428057846  normdF_normal = 184.394573352909930  err = 0.021611240536403
normdF = 64.756756973972429  normdF_normal = 64.726829439990709  err = 0.038115697087894
normdF = 191.731913308189831  normdF_normal = 191.710712817050762  err = 0.008590207915338
normdF = 82.512148648487113  normdF_normal = 82.461656480078403  err = 0.009890634495423
normdF = 211.469085828289110  normdF_normal = 211.454422578350119  err = 0.007996402438732
normdF = 84.469593957137931  normdF_normal = 84.426506226092400  err = 0.009286281695340
normdF = 117.200772562270814  normdF_normal = 117.173891280906886  err = 0.017018676923965
normdF = 120.839242505753049  normdF_normal = 120.813793292205332  err = 0.054198477915130
normdF = 58.346379396189143  normdF_normal = 58.320216375547666  err = 0.016286739345828
normdF = 141.372601029233039  normdF_normal = 141.342379042213963  err = 0.010607708856002
normdF = 70.475318811941236  normdF_normal = 70.443792488686682  err = 0.038001079933779
normdF = 176.760983150325416  normdF_normal = 176.745232639787247  err = 0.009142601742211
normdF = 94.023062861072958  normdF_normal = 93.994733179546984  err = 0.018998012114927
